id,title,related,url,seendate,socialimage,domain,language,sourcecountry
1382,Coronavirus : Barr says  draconian  rules may need to be revisited soon,1,https://www.usatoday.com/story/news/politics/2020/04/09/coronavirus-barr-says-draconian-rules-may-need-revisited-soon/5120413002/,20200409T124500Z,"https://www.gannett-cdn.com/presto/2020/02/19/USAT/6b56adb6-98f2-4dec-9089-d029d95708ae-AP_Barr_Sheriffs_1.JPG?crop=5391,3033,x0,y539&fit=bounds",usatoday.com,English,United States
4439,"McConnell :  We must have no stigma , none , about wearing masks  ",1,https://www.cnn.com/world/live-news/coronavirus-pandemic-06-29-20-intl/h_549ee9ec74ba21bfde5da813b91573f8,20200629T211500Z,https://cdn.cnn.com/cnnnext/dam/assets/200213175736-02-coronavirus-0213-super-tease.jpg,cnn.com,English,United States
5955,"Spain coronavirus death toll tops 2 , 000",1,https://www.nbcnews.com/health/health-news/live-blog/coronavirus-updates-stimulus-bill-fails-senate-canada-australia-pull-out-n1166286/ncrd1166396,20200323T120000Z,https://media4.s-nbcnews.com/j/newscms/2020_13/3279771/200323-nepal-airport-mc-649_e9fdcd2ceedc922be3d42f99a18d4452.nbcnews-fp-1200-630.JPG,nbcnews.com,English,United States
5171,"Oscars , New Hampshire primary , coronavirus , XFL : The weekend biggest news",0,https://www.usatoday.com/story/news/2020/02/09/oscars-new-hampshire-primary-coronavirus-xfl-weekends-biggest-news/4702779002/,20200209T224500Z,"https://www.gannett-cdn.com/presto/2020/02/06/USAT/87e76979-6d11-4861-8229-ffe5357b9773-AP_92nd_Academy_Awards_-_Governors_Ball_Press_Preview.JPG?crop=4613,2595,x0,y222&fit=bounds",usatoday.com,English,United States
4338,"Luxury goods company that owns Dior , Luis Vuitton to make free hand sanitizer for France",0,https://www.nbcnews.com/card/luxury-goods-company-owns-dior-luis-vuitton-make-free-hand-n1159521,20200315T221500Z,,nbcnews.com,English,United States
2369,Coronavirus ventilator shortages may force tough ethical questions,1,https://www.usatoday.com/story/news/2020/04/04/coronavirus-ventilator-shortages-may-force-tough-ethical-questions-nyc-hospitals/5108498002/,20200404T113000Z,"https://www.gannett-cdn.com/presto/2020/03/23/USAT/b9536524-c979-40ff-bf6b-4490f77e48d7-24495.jpg?crop=5288,2975,x0,y0&fit=bounds",usatoday.com,English,United States
8326,White House aides torn over trade hawk proposal as President Trump weighs action on China,1,https://www.washingtonpost.com/business/2020/04/29/white-house-aides-torn-over-trade-hawks-proposal-president-trump-weighs-action-china/,20200429T104500Z,https://www.washingtonpost.com/resizer/0oDBxDbvRrpQnIYAWuG1-7bblUM=/1484x0/arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/VJTOD5TQRQI6VIKWABELMLG3KE.jpg,washingtonpost.com,English,United States
4265,Live united states Coronavirus Cases and Deaths Tracker : Updating,1,https://www.nytimes.com/2020/04/29/us/coronavirus-usa-cases-deaths.html,20200429T174500Z,https://www.nytimes.com/newsgraphics/2020/04/09/corona-virus-social-images-by-section/assets/US_promo.jpg?u=1588181512324,nytimes.com,English,United States
3413,"Giffords PAC launches anti - Gardner ad amid new , $7 . 5 million push toward November",0,https://www.nbcnews.com/politics/meet-the-press/blog/meet-press-blog-latest-news-analysis-data-driving-political-discussion-n988541/ncrd1234993,20200728T141500Z,https://media1.s-nbcnews.com/j/newscms/2019_45/3089171/191107-meet-the-press-liveblog-cs-129p_9a02b422cbd06ceb3b377ce04b8d0e08.nbcnews-fp-1200-630.jpg,nbcnews.com,English,United States
346,A record 6 . 6 million Americans filed for unemployment last week,1,https://www.nbcnews.com/business/economy/record-6-6-million-americans-filed-unemployment-last-week-n1174776?cid=public-rss_20200402,20200402T171500Z,https://media2.s-nbcnews.com/j/newscms/2020_13/3284296/200326-dept-labor-al-0817_690ea9a69c6b08c5c7d6c2b0e739a458.nbcnews-fp-1200-630.jpg,nbcnews.com,English,United States
871,Bill Gates : Trump halting funding to World Health Organization during pandemic is  as dangerous as it sounds  ,1,https://www.washingtonpost.com/nation/2020/04/15/who-bill-gates-coronavirus-trump/,20200415T123000Z,https://www.washingtonpost.com/resizer/28rBjIUfyCYU0W9jJB-ucWuPoGo=/1484x0/arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/GO5SZLTJIUI6VMMZHKLZTRKFCI.jpg,washingtonpost.com,English,United States
7030,Trump claims  virus is receding  one day after Birx says pandemic  extraordinarily widespread  ,1,https://abcnews.go.com/Politics/trump-claims-virus-receding-day-birx-pandemic-extraordinarily/story?id=72152688,20200803T234500Z,https://s.abcnews.com/images/Politics/trump-1-gty-er-200803_1596491146765_hpMain_16x9_992.jpg,abcnews.go.com,English,United States
3710,House Set to Vote on Stimulus With Plans to Dole Out Still More,1,https://www.washingtonpost.com/business/on-small-business/house-set-to-vote-on-stimulus-with-plans-to-dole-out-still-more/2020/04/22/6b85c8de-846f-11ea-81a3-9690c9881111_story.html,20200422T083000Z,,washingtonpost.com,English,United States
850,Biden stresses Americans shouldnt go back to work until  it safe to send you back  ,1,https://www.foxnews.com/politics/biden-stresses-americans-shouldnt-go-back-to-work-until-its-safe-to-send-you-back,20200416T160000Z,https://cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/903f549f-2e68-457d-b330-5cbf0dd0d1c3/233c43f7-2dc9-4332-ad9f-b4d2559aba78/1280x720/match/image.jpg,foxnews.com,English,United States
